Settore storico pe;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Superficie somministrazione
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;19
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;52
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;56
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;56
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;57
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;57
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;71
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;79
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;114
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;114
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;124
;;VIA DEI PICCOLOMINI N. 5 stadio meazza s. siro - magazzino centrale (z.d. 7);VIA;DEI PICCOLOMINI;5;6513;7;;;;124
;;"VIA DEI PICCOLOMINI N. 5 stadio meazza (s. siro); (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;14
;;"VIA DEI PICCOLOMINI N. 5 stadio mezza san siro; (z.d. 7)";VIA;DEI PICCOLOMINI;5;6513;7;;;;15
;;VIA DEI PICCOLOMINI N. 5 (z.d. 7);VIA;DEI PICCOLOMINI;5;6513;7;;;;
;;"VIA DEI PICCOLOMINI num.002/4 int. trotto club house 2� p.; (z.d. 7)";VIA;DEI PICCOLOMINI;;6513;7;;;;
;;VIA DELLE FORZE ARMATE N. 322 (z.d. 7);VIA;DELLE FORZE ARMATE;322;6643;7;;;;96
;;VIA DEL RICORDO N. 58 (z.d. 2);VIA;DEL RICORDO;58;2496;2;;;;70
;;VIA DON MINZONI GIOVANNI N. 11 aderente aics (z.d. 9);VIA;DON MINZONI GIOVANNI;11;1141;9;;;;219
;;VIA DURINI N. 14 (z.d. 1);VIA;DURINI;14;313;1;;;;
;;VIA FARAVELLI LUIGI GIUSEPPE N. 16 (z.d. 8);VIA;FARAVELLI LUIGI GIUSEPPE;16;7162;8;;;;
;;VIA FIGINO AMBROGIO N. 13 (z.d. 8);VIA;FIGINO AMBROGIO;13;7387;8;;;;150
;;VIA FILODRAMMATICI N. 2 (z.d. 1);VIA;FILODRAMMATICI;2;113;1;;;;
;;VIA FILODRAMMATICI N. 2 (z.d. 1);VIA;FILODRAMMATICI;2;113;1;;;;
;;VIA FILODRAMMATICI N. 2 (z.d. 1);VIA;FILODRAMMATICI;2;113;1;;;;
;;VIA FILODRAMMATICI N. 2 (z.d. 1);VIA;FILODRAMMATICI;2;113;1;;;;
;;VIA FILODRAMMATICI N. 2 (z.d. 1);VIA;FILODRAMMATICI;2;113;1;;;;
;;VIA GAGGIA PIETRO civico 4 interno asilo nido l'oasi delle coccole;VIA;GAGGIA PIETRO;;4187;4;;;;78
;;VIA GALILEI GALILEO N. 12 (z.d. 2);VIA;GALILEI GALILEO;12;1102;2;;;;
;;VIA GALVANI LUIGI civ. 23;VIA;DEI PICCOLOMINI;5;6513;7;;;;
;;"VIA GARGANO N. 15 aderisce a.c.s.i.; (z.d. 5)";VIA;GARGANO;15;4163;5;;;;375
;;"VIA GIAMBELLINO N. 5 palestra tonic; (z.d. 6)";VIA;GIAMBELLINO;5;5136;6;;;;19
;;VIA GIOIA MELCHIORRE N. 69 (z.d. 2);VIA;GIOIA MELCHIORRE;69;1108;2;;;;
;;"VIA GIOIA MELCHIORRE num.000 ; (z.d. 9)";CSO;MAGENTA;71;604;1;;;;
;;VIA GIOVANNI DA PROCIDA N. 1 (z.d. 8);VIA;GIOVANNI DA PROCIDA;1;7151;8;;;;68
;;"VIA GONIN FRANCESCO N. 16 c/o campo giordano dell'amore; (z.d. 6)";VIA;GONIN FRANCESCO;16;5376;6;;;;40
;;"VIA GORANI num.009 ; ()";VIA;GORANI;;635;1;;;;59
;;"VIA GRAF ARTURO N. 4 interno centro sportivo; (z.d. 8)";VIA;GRAF ARTURO;4;7338;8;;;;45
;;"VIA GRAZIANO IMPERATORE num.000 ; ()";VIA;GRAZIANO IMPERATORE;;1524;9;;;;
;;"VIA IMBONATI CARLO N. 24 palestra virgin - maciachini; (z.d. 9)";VIA;IMBONATI CARLO;24;1311;9;;;;
;;"VIA ISEO N. 10 c/o stabilimento balneare; (z.d. 9)";VIA;ISEO;10;1571;9;;;;
;;"VIA LAGO DI NEMI num.031 c.tro sport. franco bettinelli; ()";VIA;LAGO DI NEMI;;5351;6;;;;40
;;"VIA LARGA N. 15 sede legale societa'; (z.d. 1)";VIA;LARGA;15;318;1;;;;
;;VIA LEGNONE N. 57 (z.d. 9);VIA;LEGNONE;57;1298;9;;;;80
;;VIA LEONE XIII N. 14 (z.d. 8);VIA;LEONE XIII;14;6353;8;;;;
;;"VIA LOMBROSO CESARE num.103 c. sportivo ssd ausonia 1931; ()";VIA;LOMBROSO CESARE;;3334;4;;;;34
;;"VIA LONDONIO FRANCESCO N. 14 banqueting; (z.d. 8)";VIA;LONDONIO FRANCESCO;14;7134;8;;;;
;;VIA LONGARONE N. 18/4 (z.d. 8);VIA;LONGARONE;41017;7520;8;;;;
;;"VIA LOPE DE VEGA FELICE N. 35 c/o il lope; ()";VIA;LOPE DE VEGA FELICE;35;5408;6;;;;110
;;VIA LUDOVICO DI BREME N. 25 (z.d. 8);VIA;LUDOVICO DI BREME;25;7396;8;;;;
;;VIA MALPIGHI MARCELLO N. 3 (z.d. 3);VIA;MALPIGHI MARCELLO;3;2182;3;;;;
;;VIA MANARESI CESARE N. 13 (z.d. 7);VIA;MANARESI CESARE;13;6837;7;;;;100
;;VIA MANCINI LODOVICO N. 2 ingresso corso xxii marzo (z.d. 4);VIA;MANCINI LODOVICO;2;3082;4;;;;18
;;VIA MANZONI ALESSANDRO N. 42 (z.d. 1);VIA;MANZONI ALESSANDRO;42;230;1;;;;25
;;VIA MARCELLO BENEDETTO N. 79 (z.d. 3);VIA;MARCELLO BENEDETTO;79;2128;3;;;;
;;VIA MASOTTO UMBERTO N. 12 (z.d. 4);VIA;MASOTTO UMBERTO;12;3283;4;;;;
;;VIA MASSARA DE CAPITANI N. 3 (z.d. 9);VIA;MASSARA DE CAPITANI;3;1261;9;;;;
;;VIA MELEGARI LUIGI AMEDEO N. 1 (z.d. 1);VIA;MELEGARI LUIGI AMEDEO;1;3045;1;;;;
;;VIA MELZO N. 5 aderente a centro nazionale sportivo fiamma (z.d. 3);VIA;MELZO;5;2184;3;;;;30
;;VIA MERLO CARLO GIUSEPPE N. 3 (z.d. 1);VIA;MERLO CARLO GIUSEPPE;3;329;1;;;;60
;;VIA MODENA GUSTAVO N. 2 (z.d. 3);VIA;MODENA GUSTAVO;2;3122;3;;;;15
;;VIA MONDOVI' N. 7 (z.d. 2);VIA;MONDOVI';7;2515;2;;;;390
;;VIA MONTE ROSA N. 81 c/o comunita' religiosa p.i.m.e. (z.d. 7);VIA;MONTE ROSA;81;6388;7;;;;
;;VIA MONTE ROSA N. 91 c/o servizi aziendali pricewaterhousecoopers srl (z.d. 7);VIA;MONTE ROSA;91;6388;7;;;;
;;VIA MURATORI LODOVICO N. 46/6 (z.d. 4);VIA;MURATORI LODOVICO;46/6;4076;4;;;;13
;;VIA NATTA GIULIO civ. 48 con ingresso in via livio cambi 2 - interno banca unicredito;VIA;NATTA GIULIO;;6860;8;;;;470
;;"VIA OLGETTINA N. 60 fondazione s. raffaele - lotto ""diamante - piani 4�-5�-6� nuovo"" corpo di collegamento""
cucine di reparto solventi - corpo di collegamento (z.d. 3)";VIA;OLGETTINA;60;2530;3;;;;
;;"VIA OLIVIERI ALESSIO N. 15 centro sportivo kennedy; (z.d. 7)";VIA;OLIVIERI ALESSIO;15;6703;7;;;;47
;;VIA OLIVIERI ALESSIO N. 15 (z.d. 7);VIA;OLIVIERI ALESSIO;15;6703;7;;;;
;;"VIA OROPA N. 3 affiliato arci; (z.d. 2)";VIA;OROPA;3;2381;2;;;;170
;;VIA OSLAVIA N. 28 (z.d. 3);VIA;OSLAVIA;28;2672;3;;;;58
;;"VIA PADOVA num.013/a interno discoteca mybaki; ()";FOR;BUONAPARTE;76;711;1;;;;
;;VIA PAISIELLO GIOVANNI N. 7 (z.d. 3);VIA;PAISIELLO GIOVANNI;7;2245;3;;;;11
;;VIA PALLANZA N. 26 (1� piano) scuola materna (z.d. 2);VIA;PALLANZA;26;1453;2;;;;
;;"VIA PALMARIA N. 9 ; isolato:163; (z.d. 9)";VIA;PALMARIA;9;1404;9;;;;52
;;VIA PANIZZA BARTOLOMEO N. 8 (z.d. 7);VIA;PANIZZA BARTOLOMEO;8;6208;7;;;;57
;;"VIA PATROCLO num.000 chiosco n� 2; ()";VIA;CALDESI VINCENZO;6;1458;9;;;;
;;"VIA PATROCLO num.000 chiosco n� 3; ()";VIA;BAZZI CARLO;68;4222;5;;;;10
;;VIA PERGOLESI GIOVANNI BATTISTA N. 8 (z.d. 3);VIA;PERGOLESI GIOVANNI BATTISTA;8;2231;3;;;;100
;;VIA PIERO DELLA FRANCESCA N. 55 (z.d. 8);VIA;PIERO DELLA FRANCESCA;55;7188;8;;;;
;;VIA PIERO DELLA FRANCESCA N. 55 (z.d. 8);VIA;PIERO DELLA FRANCESCA;55;7188;8;;;;
;;VIA PISANELLO N. 1 interno cinema teatro rosetum (z.d. 7);VIA;PISANELLO;1;6600;7;;;;54
;;VIA PLEZZO N. 16 all'interno di discoteca vedi c.e. sp/643 (z.d. 3);VIA;PLEZZO;16;2653;3;;;;18
;;"VIA PLEZZO N. 16 ; isolato:092; (z.d. 3)";VIA;PLEZZO;16;2653;3;;;;160
;;VIA POLIBIO N. 1 (z.d. 7);VIA;POLIBIO;1;6195;7;;;;
;;"VIA PORRO LAMBERTENGHI LUIGI N. 12 interno impianto sportivo; (z.d. 9)";VIA;PORRO LAMBERTENGHI LUIGI;12;1142;9;;;;31
;;VIA POZZOBONELLI GIUSEPPE N. 4 (z.d. 9);VIA;POZZOBONELLI GIUSEPPE;4;1725;9;;;;59
;;VIA PROCACCINI GIULIO CESARE N. 4 (z.d. 8);VIA;PROCACCINI GIULIO CESARE;4;7204;8;;;;
;;VIA PUSIANO N. 52 c/o a.f. giovanni piamarta (z.d. 3);VIA;PUSIANO;52;2397;3;;;;356
;;"VIA REMBRANDT N. 58 catering laboratorio; (z.d. 7)";VIA;REMBRANDT;58;6618;7;;;;10
;;VIA RINUCCINI OTTAVIO N. 7 (z.d. 2);VIA;RINUCCINI OTTAVIO;7;2294;2;;;;
;;VIA RINUCCINI OTTAVIO N. 7 (z.d. 2);VIA;RINUCCINI OTTAVIO;7;2294;2;;;;
;;VIA RIPAMONTI GIUSEPPE N. 435 presso ieo (z.d. 5);VIA;RIPAMONTI GIUSEPPE;435;4066;5;;;;1032
;;VIA RISMONDO FRANCESCO N. 77 (z.d. 7);VIA;RISMONDO FRANCESCO;77;6756;7;;;;
;;VIA RIZZOLI ANGELO N. 8 interno gruppo rcs (z.d. 3);VIA;RIZZOLI ANGELO;8;2588;3;;;;320
;;VIA ROVIGNO N. 21 (z.d. 2);VIA;ROVIGNO;21;2319;2;;;;38
;;VIA SAND GEORGE N. 17 (z.d. 9);VIA;SAND GEORGE;17;1554;9;;;;
;;"VIA SANT' ABBONDIO N. 12 c/o stabilimento balneare; (z.d. 5)";VIA;SANT' ABBONDIO;12;5315;5;;;;50
;;"VIA SANT' UGUZZONE N. 26 blues house club; (z.d. 2)";VIA;SANT' UGUZZONE;26;2448;2;;;;
;;VIA SARFATTI ROBERTO N. 25 c/o universita' bocconi milano (z.d. 5);VIA;SARFATTI ROBERTO;25;4202;5;;;;
;;"VIA SBODIO GAETANO num.030/4 catering; ()";VIA;MECENATE;86;3323;4;;;;75
;;VIA SCALARINI GIUSEPPE N. 8 circolo a.s.d. il battito (z.d. 5);VIA;SCALARINI GIUSEPPE;8;4004;5;;;;30
;;VIA SCARLATTI DOMENICO N. 20 (z.d. 3);VIA;SCARLATTI DOMENICO;20;2136;3;;;;50
;;VIA SIMONE D'ORSENIGO N. 21 interno asilo nido carini e coccolosi (z.d. 4);VIA;SIMONE D'ORSENIGO;21;3196;4;;;;23
;;VIA SOTTOCORNO PASQUALE N. 6 (z.d. 4);VIA;SOTTOCORNO PASQUALE;6;3152;4;;;;
;;"VIA TOFFETTI VINCENZO num.075/a ;";VIA;BONVESIN DE LA RIVA;2;3087;4;;;;700
;;VIA TUCIDIDE N. 56 (z.d. 3);VIA;TUCIDIDE;56;3251;3;;;;60
;;VIA VALSESIA N. 96 (z.d. 7);VIA;VALSESIA;96;6854;7;;;;47
;;VIA VALTELLINA N. 21 int. 27 (z.d. 9);VIA;VALTELLINA;21;1188;9;;;;
;;VIA VERRO BERNARDINO N. 7 interno circolo afrodite (z.d. 5);VIA;VERRO BERNARDINO;7;4223;5;;;;100
;;VIA VERRO BERNARDINO N. 7 (z.d. 5);VIA;VERRO BERNARDINO;7;4223;5;;;;
;;"VIA WASHINGTON GIORGIO N. 97 interno sala bingo; (z.d. 6)";VIA;WASHINGTON GIORGIO;97;6111;6;;;;467
;;VLE CERTOSA N. 119 (z.d. 8);VLE;CERTOSA;119;7174;8;;;;
;;VLE COL DI LANA N. 12 (z.d. 5);VLE;COL DI LANA;12;5198;5;;;;
;;VLE DE GASPERI ALCIDE cinico n. 20;VLE;DE GASPERI ALCIDE;;7482;8;;;;84
;;VLE DUILIO s.n.c. - mensa presso astaldi spa;VLE;DUILIO;;6356;8;;;;
;;"VLE FAENZA N. 7 centro sportivo greppi dajelli; (z.d. 6)";VLE;FAENZA;7;5350;6;;;;46
;;VLE LIGURIA N. 21 interno scuola i.t.i.s.  g. giorgi (z.d. 6);VLE;LIGURIA;21;5264;6;;;;9
;;VLE MONTE CENERI N. 62 (z.d. 8);VLE;MONTE CENERI;62;7176;8;;;;15
;;"VLE MONTE GRAPPA N. 14 interno discoteca; (z.d. 9)";VLE;MONTE GRAPPA;14;1101;9;;;;54
;;"VLE MONZA N. 110 interno sala giochi; (z.d. 2)";VLE;MONZA;110;2274;2;;;;
;;VLE MONZA N. 119 interno palestra (z.d. 2);VLE;MONZA;119;2274;2;;;;88
;;VLE MONZA N. 119 (z.d. 2);VLE;MONZA;119;2274;2;;;;81
;;"VLE MURILLO S.B. N. 18 completamente abusivo; (z.d. 7)";VLE;MURILLO S.B.;18;6551;7;;;;
;;VLE PIRELLI PIERO E ALBERTO civ. 6 (z.d. 9);VLE;PIRELLI PIERO E ALBERTO;;1727;9;;;;10
;;VLE SAN MICHELE DEL CARSO N. 20 (z.d. 7);VLE;SAN MICHELE DEL CARSO;20;6212;7;;;;150
;;VLE SARCA N. 336 asiansaldo (z.d. 9);VLE;SARCA;336;1427;9;;;;216
;;VLE SERRA RENATO N. 57 (z.d. 8);VLE;SERRA RENATO;57;6426;8;;;;
;;VLE TEODORICO civ. 4/4 interno asilo nido (z.d. 8);VIA;OSLAVIA;28;2672;3;;;;
;;"VLE VIGLIANI PAOLO ONORATO N. 22 somm.ne interno sala giochi; (z.d. 8)";VLE;VIGLIANI PAOLO ONORATO;22;6422;8;;;;10
;arci ugo brenna;"VIA F.LLI ZOIA N. 89 ; isolato:063; accesso: accesso interno; (z.d. 7)";VIA;F.LLI ZOIA;89;6306;7;solo somministrazione;somministrazione;al banco;102
;asital club;"VIA FRISI PAOLO N. 11 ; isolato:142; accesso: accesso esterno; (z.d. 3)";VIA;FRISI PAOLO;11;2190;3;solo somministrazione;somministrazione;al banco;
;ass.cult.indiana sandya;"VIA VOGHERA N. 16 ; isolato:032; accesso: accesso esterno; (z.d. 6)";VIA;VOGHERA;16;5123;6;solo somministrazione;somministrazione;al banco;190
;associazione reset;"VIA STATUTO N. 10 ; isolato:175; accesso: accesso interno; (z.d. 1)";VIA;STATUTO;10;1029;1;solo somministrazione;somministrazione;al banco;70
;c/o amici sosten.aprile91;"VIA BARI N. 2 ; isolato:041; accesso: accesso interno; (z.d. 6)";VIA;BARI;2;5218;6;solo somministrazione;somministrazione;al banco;30
BAR CAFF�;;"CSO BUENOS AIRES N. 26 ; isolato:082; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;26;2129;3;solo somministrazione;somministrazione;al banco;34
BAR CAFF�;;"CSO BUENOS AIRES N. 36 ; isolato:079; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;36;2129;3;solo somministrazione;somministrazione;al banco;70
BAR CAFF�;;"CSO BUENOS AIRES N. 79 c/o english friends club; isolato:007; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;79;2129;3;solo somministrazione;somministrazione;al banco;135
BAR CAFF�;;"CSO DI PORTA NUOVA N. 23 c/o azienda ospedaliera fatebe; (z.d. 1)";CSO;DI PORTA NUOVA;23;1044;1;;;;49
BAR CAFF�;;"CSO DI PORTA VITTORIA N. 16 ; isolato:200; accesso: accesso interno; (z.d. 1)";CSO;DI PORTA VITTORIA;16;3016;1;solo somministrazione;somministrazione;al banco;25
BAR CAFF�;;"CSO ITALIA N. 58 c/o scuola militare teulie'; (z.d. 1)";CSO;ITALIA;58;526;1;;;;36
BAR CAFF�;;"CSO SEMPIONE N. 76 ex zip ex le roi; isolato:045; (z.d. 8)";CSO;SEMPIONE;76;7137;8;;;;183
BAR CAFF�;;"CSO VENEZIA N. 16 c/o bar circolo il nostro club;cso venezia 016; isolato:187; (z.d. 1)";CSO;VENEZIA;16;238;1;;;;30
BAR CAFF�;;"FOR BUONAPARTE N. 74 ;for buonaparte 074; isolato:240; accesso: accesso interno; (z.d. 1)";FOR;BUONAPARTE;74;711;1;solo somministrazione;somministrazione;al banco;15
BAR CAFF�;;"GLL DEL CORSO N. 4 cinema excelsior;gll del corso 004; isolato:360; accesso: accesso interno; (z.d. 1)";GLL;DEL CORSO;4;305;1;solo somministrazione;somministrazione;al banco;30
BAR CAFF�;;"GLL DEL CORSO N. 4 cinema mignon;gll del corso 004; isolato:360; accesso: accesso interno; (z.d. 1)";GLL;DEL CORSO;4;305;1;solo somministrazione;somministrazione;al banco;44
BAR CAFF�;;"LGO GRASSI PAOLO N. 2 (interno teatro strehler); (z.d. 1)";LGO;GRASSI PAOLO;2;7073;1;;;;42
BAR CAFF�;;"PLE BRESCIA N. 20 c/o istituto auxologico italia; (z.d. 7)";PLE;BRESCIA;20;6554;7;;;;60
BAR CAFF�;;"PZA DEGLI AFFARI N. 6 c/o borsa italiana; (z.d. 1)";PZA;DEGLI AFFARI;6;621;1;;;;
BAR CAFF�;;"PZA DEL TRICOLORE N. 4 ; isolato:001; accesso: accesso interno; (z.d. 1)";PZA;DEL TRICOLORE;4;3047;1;solo somministrazione;somministrazione;al banco;16
BAR CAFF�;;"PZA DIAZ ARMANDO N. 6 c/o bar ist. di design srl;pza diaz armando 006; isolato:448; (z.d. 1)";PZA;DIAZ ARMANDO;6;339;1;;;;12
BAR CAFF�;;"PZA LUIGI DI SAVOIA N. 1 interno stazioni ferroviarie; isolato:181; accesso: accesso interno; (z.d. 2)";PZA;LUIGI DI SAVOIA;1;2260;2;somministrazione/minuto;somministrazione;al banco;96
BAR CAFF�;;"PZA LUIGI DI SAVOIA N. 24 ; isolato:021; accesso: accesso interno; (z.d. 2)";PZA;LUIGI DI SAVOIA;24;2260;2;solo somministrazione;somministrazione;al banco;78
BAR CAFF�;;"PZA NOVELLI ERMETE N. 1 aeronautica circ. sottufficial; isolato:153; accesso: accesso interno; (z.d. 3)";PZA;NOVELLI ERMETE;1;3110;3;solo somministrazione;somministrazione;al banco;200
